----------------------------798113519267437308992675
Content-Disposition: form-data; name="file"; filename="transactions.csv"
Content-Type: text/csv

Date,Description,Original Description,Amount,Type,Parent Category,Category,Account,Tags,Memo,Pending
10/22/24,12th Avenue Ace,12TH AVENUE ACE,6.52,Debit,Home,Home Improvement,Chase Sapphire Preferred,,,false
10/22/24,Amazon,AMAZON MKTPL*RD7OD8OM3,15.51,Debit,Shopping,Shopping,Chase Freedom,,,false
10/22/24,The Navigators,External Withdrawal - THE NAVIGATORS 10192024R - DONOR EFT,75,Debit,Gifts & Donations,Tithe,6554 * Member Advantage Checking,,THE NAVIGATORS 10192024R - DONOR EFT ,false
10/21/24,King Soopers,KING SOOPERS #5124,64.77,Debit,Food & Dining,Groceries,Chase Freedom,,,false
10/21/24,Transfer From Xxxxxx1864,Deposit - Online Banking Transfer from XXXXXX1864 CK,1781.83,Credit,Transfer,Transfer,6554 * Member Advantage Checking,,Online Banking Transfer from XXXXXX1864 CK,false
10/21/24,Zelle Transfer,Transfer Withdrawal -  Zelle To Gregory Schonberger +1-800-233-2328,414,Debit,Transfer,Transfer,6554 * Member Advantage Checking,,Zelle To Gregory Schonberger +1-800-233-2328,false
10/21/24,Transfer to Checking Account 1864,Withdrawal - Online Banking Transfer To XXXXXX1864 CK,435.5,Debit,Transfer,Transfer,6554 * Member Advantage Checking,,Online Banking Transfer To XXXXXX1864 CK,false
10/21/24,Chase Credit Card,External Withdrawal - CHASE CREDIT CRD  - AUTOPAY,3981.72,Debit,Transfer,Credit Card Payment,6554 * Member Advantage Checking,,CHASE CREDIT CRD  - AUTOPAY,false
10/21/24,Transfer to Checking Account 6554,Withdrawal - Online Banking Transfer To XXXXXX6554 CK,1781.83,Debit,Transfer,Transfer,1864 * Member Advantage Checking,,Online Banking Transfer To XXXXXX6554 CK,false
10/21/24,Transfer From Xxxxxx6554,Deposit - Online Banking Transfer from XXXXXX6554 CK,435.5,Credit,Transfer,Transfer,1864 * Member Advantage Checking,,Online Banking Transfer from XXXXXX6554 CK,false
10/21/24,Target,TARGET        XXXX8069,5.99,Debit,Gifts & Donations,Gift,Chase Freedom,,,false
10/21/24,King Soopers,KING SOOPERS #0724 FUEL,48.42,Debit,Auto & Transport,Gas,Chase Freedom,,,false
10/21/24,Trader Joe's,TRADER JOE S #300,91.46,Debit,Food & Dining,Groceries,Chase Freedom,,,false
10/20/24,Freeprints,FREEPRINTS,8.98,Debit,Shopping,Shopping,Chase Sapphire Preferred,,,false
10/20/24,Amazon,AMAZON MKTPL*A37465573,86.46,Debit,Shopping,Shopping,Chase Freedom,,,false
10/20/24,Mobile Deposit,Deposit - Mobile Banking,1305,Credit,Income,Income,6554 * Member Advantage Checking,,Mobile Banking,false
10/20/24,Amazon,AMAZON MKTPL*L31G597D3,8.98,Debit,Shopping,Shopping,Chase Freedom,,,false
10/19/24,Interest Income,Dividend/Interest,2.14,Credit,Income,Interest Income,6554 * Member Advantage Checking,,,false
10/19/24,Interest Income,Dividend/Interest,2.31,Credit,Income,Interest Income,6546 * Member Advantage Savings,,,false
10/18/24,Target,TARGET        XXXX8069,74.4,Debit,Gifts & Donations,Gift,Chase Freedom,,,false
10/18/24,Automatic Payment,AUTOMATIC PAYMENT - THANK,3981.72,Credit,Transfer,Transfer,Chase Freedom,,,false
10/18/24,Enterprise Coworking,ENTERPRISE COWORKING,5,Debit,Travel,Rental Car & Taxi,Chase Sapphire Preferred,,,false
10/17/24,Honey Hill Cafe,SQ *HONEY HILL CAFE,7.05,Debit,Food & Dining,Food & Dining,Chase Freedom,,,false
10/16/24,Trader Joe's,TRADER JOE S #300,31.47,Debit,Food & Dining,Groceries,Chase Freedom,,,false
10/16/24,Bank of America MasterCard,External Withdrawal - BK OF AMER MC  - ONLINE PMT,111,Debit,Transfer,Credit Card Payment,6554 * Member Advantage Checking,,BK OF AMER MC  - ONLINE PMT ,false
10/15/24,Wells Fargo Credit Card,External Withdrawal - WF Credit Card  - AUTO PAY,84.9,Debit,Transfer,Credit Card Payment,6554 * Member Advantage Checking,,WF Credit Card  - AUTO PAY ,false
10/15/24,Transfer to Venmo,External Withdrawal - VENMO  - PAYMENT,25,Debit,Transfer,Transfer,6554 * Member Advantage Checking,,VENMO  - PAYMENT ,false
10/15/24,Transfer to Venmo,External Withdrawal - VENMO  - PAYMENT,25,Debit,Transfer,Transfer,6554 * Member Advantage Checking,,VENMO  - PAYMENT ,false
10/15/24,Acelab,External Deposit - ACELAB  - PAYROLL,2779.39,Credit,Income,Paycheck,6554 * Member Advantage Checking,,ACELAB  - PAYROLL ,false
10/15/24,VSP Vision Care,VSP 800-785-0699,22.11,Debit,Health & Fitness,Health Insurance,Chase Freedom,,,false
10/15/24,King Soopers,KING SOOPERS #0724 FUEL,50.15,Debit,Auto & Transport,Gas,Chase Freedom,,,false
10/15/24,King Soopers,KING SOOPERS #5124,125.67,Debit,Food & Dining,Groceries,Chase Freedom,,,false
10/15/24,Trader Joe's,TRADER JOE S #300,125.83,Debit,Food & Dining,Groceries,Chase Freedom,,,false
10/15/24,Zelle Transfer,Transfer Withdrawal -  Zelle To Pat Schonberger +1-800-233-2328,579.96,Debit,Transfer,Transfer,6554 * Member Advantage Checking,, Zelle To Pat Schonberger +1-800-233-2328 ,false
10/14/24,Strong Towns Member,STRONG TOWNS MEMBER,5.7,Debit,Uncategorized,Kyle,Chase Sapphire Preferred,,,false
10/14/24,Frontier Airlines,FRONTIER AIRLINES,59.99,Debit,Travel,Air Travel,Chase Freedom,,,false
10/14/24,Pioneers,PIONEERS,25,Debit,Gifts & Donations,Tithe,Chase Freedom,,,false
10/14/24,Pioneers,PIONEERS,25,Debit,Gifts & Donations,Tithe,Chase Freedom,,,false
10/14/24,Backblaze,BACKBLAZE INC,99,Debit,Shopping,Electronics & Software,Chase Freedom,,,false
10/14/24,Safeway,SAFEWAY #2246,9.48,Debit,Food & Dining,Groceries,Chase Freedom,,,false
10/13/24,Dang Soft Serve,TST*DANG SOFT SERVE,13.57,Debit,Uncategorized,Uncategorized,Chase Sapphire Preferred,,,false
10/13/24,Blue Pan Pizza,BLUE PAN PIZZA  EAST 12TH,44.9,Debit,Food & Dining,Restaurants,Chase Sapphire Preferred,,,false
10/13/24,Goodwill,GOODWILL 1023 - ARCHER,42.38,Debit,Shopping,Shopping,Chase Sapphire Preferred,,,false
10/13/24,Birdcall Points,BIRDCALL 5 POINTS,31.45,Debit,Food & Dining,Restaurants,Chase Sapphire Preferred,,,false
10/12/24,Talulah Jones,TALULAH JONES,17.41,Debit,Shopping,Shopping,Chase Sapphire Preferred,,,false
10/12/24,Walmart,WALMART.COM,88,Credit,Food & Dining,Groceries,Chase Freedom,,,false
10/11/24,Trader Joe's,TRADER JOE S #300,69.99,Debit,Food & Dining,Groceries,Chase Freedom,,,false
10/10/24,T E Pta,T      E          PTA,156.37,Debit,Gifts & Donations,Gifts & Donations,Chase Freedom,,,false
10/10/24,In-N-Out Burger,IN-N-OUT ARVADA,8.37,Debit,Food & Dining,Fast Food,Chase Sapphire Preferred,,,false
10/10/24,Amazon,AMAZON MKTPL*C62JD4513,8.66,Debit,Shopping,Shopping,Chase Freedom,,,false
10/10/24,Amazon,AMAZON MKTPL*0N7W60023,12.28,Debit,Shopping,Shopping,Chase Freedom,,,false
10/9/24,Sawyer Booking Fee,SAWYER* BOOKING FEE,3.99,Debit,Fees & Charges,Fees & Charges,Chase Freedom,,,false
10/9/24,Sawyer S Shredder,SAWYER + S* SHREDDER C,369,Debit,Shopping,Clothing,Chase Freedom,,,false
10/9/24,King Soopers,KING SOOPERS #0724 FUEL,34.83,Debit,Auto & Transport,Gas,Chase Freedom,,,false
10/9/24,City Floral,CITY FLORAL.,62.81,Debit,Bills & Utilities,Utilities,Chase Sapphire Preferred,,,false
10/9/24,Walmart,WALMART.COM,827.94,Credit,Food & Dining,Groceries,Chase Freedom,,,false
10/9/24,Amazon,AMAZON MKTPL*G26DU3LX3,103.57,Debit,Shopping,Shopping,Chase Freedom,,,false
10/9/24,Amazon,AMZN Mktp US*Q054N6FE3,13.33,Debit,Shopping,Shopping,Chase Freedom,,,false
10/9/24,King Soopers,KING SOOPERS #5124,64.23,Debit,Food & Dining,Groceries,Chase Freedom,,,false
10/8/24,Flyteco Brewing,FlyteCo Brewing,8.1,Debit,Food & Dining,Coffee Shops,Chase Sapphire Preferred,,,false
10/7/24,Transfer to Checking Account 1864,Withdrawal - Online Banking Transfer To XXXXXX1864 CK,435.5,Debit,Transfer,Transfer,6554 * Member Advantage Checking,,Online Banking Transfer To XXXXXX1864 CK,false
10/7/24,Transfer From Xxxxxx6554,Deposit - Online Banking Transfer from XXXXXX6554 CK,435.5,Credit,Transfer,Transfer,1864 * Member Advantage Checking,,Online Banking Transfer from XXXXXX6554 CK,false
10/7/24,Trader Joe's,TRADER JOE S #300,73.44,Debit,Food & Dining,Groceries,Chase Freedom,,,false
10/7/24,Provident Funding,"External Withdrawal - PROVIDENT FUNDIN G ASSOCIATES, L.P. - ACH PMT",1882.57,Debit,Home,Mortgage & Rent,6554 * Member Advantage Checking,,"PROVIDENT FUNDIN G ASSOCIATES, L.P. - ACH PMT ",false
10/7/24,Xcel Energy,External Withdrawal - XCEL ENERGY-PSCO  - XCELENERGY,129.76,Debit,Bills & Utilities,Utilities,6554 * Member Advantage Checking,,XCEL ENERGY-PSCO  - XCELENERGY ,false
10/5/24,Harkins Theatres,HARKINS ARVADA L PAY,12.25,Debit,Entertainment,Movies & DVDs,Chase Freedom,,,false
10/5/24,Amazon,Amazon.com*FG0RX0MF3,0.57,Debit,Shopping,Shopping,Chase Freedom,,,false
10/4/24,Amazon,AMAZON MKTPL*8I3WK4343,31.26,Debit,Shopping,Shopping,Chase Freedom,,,false
10/4/24,Costco,COSTCO WHSE #0676,244.5,Debit,Shopping,Shopping,Chase Sapphire Preferred,,,false
10/4/24,Pinwheel Coffee,SQ *PINWHEEL COFFEE,6.94,Debit,Food & Dining,Coffee Shops,Chase Sapphire Preferred,,,false
10/4/24,Harkins Theatres,HARKINS ARVADA L PAY,24.5,Debit,Entertainment,Movies & DVDs,Chase Freedom,,,false
10/4/24,Harkins Theatres,HARKINS ARVADA L PAY,122.5,Debit,Entertainment,Movies & DVDs,Chase Freedom,,,false
10/4/24,Enterprise Coworking,ENTERPRISE COWORKING,5,Debit,Travel,Rental Car & Taxi,Chase Sapphire Preferred,,,false
10/4/24,King Soopers,KING SOOPERS #0724 FUEL,25.28,Debit,Auto & Transport,Gas,Chase Freedom,,,false
10/4/24,King Soopers,KING SOOPERS #5124,71.9,Debit,Food & Dining,Groceries,Chase Freedom,,,false
10/4/24,Trader Joe's,TRADER JOE S #300,123.83,Debit,Food & Dining,Groceries,Chase Freedom,,,false
10/3/24,Amazon,AMAZON MKTPLACE PMTS,56.03,Credit,Shopping,Shopping,Chase Freedom,,,false
10/3/24,Amazon,AMAZON MKTPLACE PMTS,49.29,Credit,Shopping,Shopping,Chase Freedom,,,false
10/3/24,Public Works Parking,PUBLIC WORKS-PRKG METR,1,Debit,Auto & Transport,Parking,Chase Freedom,,,false
10/3/24,Congress Park Market,SQ *CONGRESS PARK MARKET,12.28,Debit,Entertainment,Entertainment,Chase Freedom,,,false
10/3/24,Honey Hill Cafe,SQ *HONEY HILL CAFE,8.05,Debit,Food & Dining,Food & Dining,Chase Freedom,,,false
10/3/24,Amazon,AMAZON MKTPLACE PMTS,31,Credit,Shopping,Shopping,Chase Freedom,,,false
10/3/24,Amazon,AMAZON MKTPLACE PMTS,42.85,Credit,Shopping,Shopping,Chase Freedom,,,false
10/3/24,Denver Pay by,DENVER PAY BY PHONE ME,1,Debit,Bills & Utilities,Bills & Utilities,Chase Freedom,,,false
10/3/24,Amazon,AMAZON MKTPLACE PMTS,25.46,Credit,Shopping,Shopping,Chase Freedom,,,false
10/3/24,Amazon,AMAZON MKTPLACE PMTS,27.07,Credit,Shopping,Shopping,Chase Freedom,,,false
10/3/24,Denver Public Schools,MSB DENVER PUBLIC SCHOOLS,10,Debit,Education,Education,Chase Freedom,,,false
10/3/24,Amazon,AMAZON MKTPLACE PMTS,31.44,Credit,Shopping,Shopping,Chase Freedom,,,false
10/3/24,Amazon,AMAZON MKTPLACE PMTS,25.46,Credit,Shopping,Shopping,Chase Freedom,,,false
10/3/24,Amazon,AMAZON MKTPLACE PMTS,31.41,Credit,Shopping,Shopping,Chase Freedom,,,false
10/3/24,Amazon,AMAZON MKTPLACE PMTS,18.99,Credit,Shopping,Shopping,Chase Freedom,,,false
10/3/24,American Express Credit Card,External Withdrawal - AMEX EPAYMENT AM - ACH PMT,81,Debit,Transfer,Credit Card Payment,6554 * Member Advantage Checking,,AMEX EPAYMENT AM - ACH PMT ,false
10/2/24,Goodwill,GOODWILL 1023 - ARCHER,23.04,Debit,Shopping,Shopping,Chase Sapphire Preferred,,,false
10/2/24,Chase Credit Card,External Withdrawal - CHASE CREDIT CRD  - AUTOPAY,724.15,Debit,Transfer,Credit Card Payment,6554 * Member Advantage Checking,,CHASE CREDIT CRD  - AUTOPAY ,false
10/1/24,Transfer to Savings Account 1856,Withdrawal - Online Banking Transfer To XXXXXX1856 SAV,50,Debit,Transfer,Transfer,6554 * Member Advantage Checking,,Online Banking Transfer To XXXXXX1856 SAV,false
10/1/24,Transfer From Xxxxxx6554,Deposit - Online Banking Transfer from XXXXXX6554 CK,50,Credit,Transfer,Transfer,1856 * Member Advantage Savings,,Online Banking Transfer from XXXXXX6554 CK,false
10/1/24,Automatic Payment,AUTOMATIC PAYMENT - THANK,724.15,Credit,Transfer,Transfer,Chase Sapphire Preferred,,,false
10/1/24,Apple Credit Card,External Withdrawal - APPLECARD GSBANK  - PAYMENT,7.15,Debit,Transfer,Credit Card Payment,6554 * Member Advantage Checking,,APPLECARD GSBANK  - PAYMENT ,false
9/30/24,King Soopers,KING SOOPERS #5124,48.07,Debit,Food & Dining,Groceries,Chase Freedom,,,false
9/30/24,Cigna,CIGNA 877 484 5967,37.01,Debit,Health & Fitness,Health Insurance,Chase Freedom,,,false
9/30/24,Trader Joe's,TRADER JOE S #300,7.36,Debit,Food & Dining,Groceries,Chase Freedom,,,false
9/30/24,King Soopers,KING SOOPERS #0724 FUEL,47.51,Debit,Auto & Transport,Gas,Chase Freedom,,,false
9/30/24,Trader Joe's,TRADER JOE S #300,119.94,Debit,Food & Dining,Groceries,Chase Freedom,,,false
9/30/24,Acelab,External Deposit - ACELAB  - PAYROLL,2801.72,Credit,Income,Paycheck,6554 * Member Advantage Checking,,ACELAB  - PAYROLL ,false
9/29/24,Conoco,CONOCO - SEI 23293,12.82,Debit,Food & Dining,Fast Food,Chase Sapphire Preferred,,,false
9/29/24,Safeway,SAFEWAY #2246,26.35,Debit,Food & Dining,Groceries,Chase Freedom,,,false
9/28/24,Amazon,AMAZON MKTPL*2882I7033,32.63,Debit,Shopping,Shopping,Chase Freedom,,,false
9/28/24,Advance Auto Parts,ADVANCE AUTO PARTS #1089,61.21,Debit,Auto & Transport,Service & Parts,Chase Sapphire Preferred,,,false
9/28/24,Trader Joe's,TRADER JOE S #302,67.01,Debit,Food & Dining,Groceries,Chase Freedom,,,false
9/28/24,Walmart,WALMART.COM,928.68,Debit,Food & Dining,Groceries,Chase Sapphire Preferred,,,false
9/28/24,Interest Income,Dividend/Interest,1.95,Credit,Income,Interest Income,1864 * Member Advantage Checking,,,false
9/28/24,Interest Income,Dividend/Interest,2.94,Credit,Income,Interest Income,1856 * Member Advantage Savings,,,false
9/27/24,Amazon,Amazon.com*X95723Z23,43.8,Debit,Shopping,Shopping,Chase Freedom,,,false
9/27/24,Act Denver Parks,ACT*Denver Parks &,30.75,Debit,Kids,Kids Activities,Chase Freedom,,,false
9/26/24,Amazon,AMAZON MKTPL*4Q8ZQ4CW3,7.9,Debit,Shopping,Shopping,Chase Freedom,,,false
9/26/24,State Fee,CO SECRETARY STATE FEE,25,Debit,Fees & Charges,Fees & Charges,Chase Freedom,,,false
9/26/24,Denver Permits Online,DENVER PERMITS ONLINE,25,Debit,Bills & Utilities,Bills & Utilities,Chase Freedom,,,false
9/26/24,Amazon,Amazon.com*FC9OF9403,14.38,Debit,Shopping,Shopping,Chase Freedom,,,false
9/26/24,Chase Travel,CL *Chase Travel,31.95,Credit,Travel,Travel,Chase Freedom,,,false
9/26/24,Check #1142,Check - 1142,220,Debit,Uncategorized,Check,6554 * Member Advantage Checking,,,false
9/26/24,Mobile Deposit,Deposit - Mobile Banking,1972.5,Credit,Income,Income,6554 * Member Advantage Checking,,Mobile Banking,false
9/25/24,Whole Foods,Whole Foods  XXXXXX2273,50,Debit,Food & Dining,Groceries,Chase Freedom,,,false
9/24/24,Ikea,IKEA 463587836,57.59,Debit,Home,Furnishings,Chase Freedom,,,false
9/24/24,Amazon,AMAZON MKTPL*1I1JR5S93,61.1,Debit,Shopping,Shopping,Chase Freedom,,,false
9/24/24,Snarf's,SNARFS INSPIRED,17.17,Debit,Food & Dining,Fast Food,Chase Sapphire Preferred,,,false
9/23/24,Transfer to Checking Account 1864,Withdrawal - Online Banking Transfer To XXXXXX1864 CK,435.5,Debit,Transfer,Transfer,6554 * Member Advantage Checking,,Online Banking Transfer To XXXXXX1864 CK,false
9/23/24,Transfer From Xxxxxx6554,Deposit - Online Banking Transfer from XXXXXX6554 CK,435.5,Credit,Transfer,Transfer,1864 * Member Advantage Checking,,Online Banking Transfer from XXXXXX6554 CK,false
9/23/24,King Soopers,KING SOOPERS #0724 FUEL,23.84,Debit,Auto & Transport,Gas,Chase Freedom,,,false
9/23/24,King Soopers,KING SOOPERS #5124,128.83,Debit,Food & Dining,Groceries,Chase Freedom,,,false
9/23/24,Trader Joe's,TRADER JOE S #300,60.88,Debit,Food & Dining,Groceries,Chase Freedom,,,false
9/23/24,The Navigators,External Withdrawal - THE NAVIGATORS 9192024R - DONOR EFT,75,Debit,Gifts & Donations,Tithe,6554 * Member Advantage Checking,,THE NAVIGATORS 9192024R - DONOR EFT ,false
9/22/24,12th Avenue Ace,12TH AVENUE ACE,9.03,Debit,Home,Home Improvement,Chase Sapphire Preferred,,,false
9/21/24,Safeway,SAFEWAY #2246,4.99,Debit,Food & Dining,Groceries,Chase Sapphire Preferred,,,false
9/21/24,Safeway,SAFEWAY #2246,16.36,Debit,Food & Dining,Groceries,Chase Sapphire Preferred,,,false
9/21/24,Interest Income,Dividend/Interest,2.75,Credit,Income,Interest Income,6554 * Member Advantage Checking,,,false
9/21/24,Interest Income,Dividend/Interest,2.89,Credit,Income,Interest Income,6546 * Member Advantage Savings,,,false
9/20/24,Safeway,SAFEWAY #2246,65.53,Debit,Food & Dining,Groceries,Chase Freedom,,,false
9/20/24,Domino's,DOMINO'S 6342,32.62,Debit,Food & Dining,Fast Food,Chase Sapphire Preferred,,,false
9/20/24,Abode Home Security,ABODE HOME SECURITY,229.99,Debit,Home,Home,Chase Freedom,,,false
9/20/24,Conoco,CONOCO - SEI 23293,61.75,Debit,Auto & Transport,Gas,Chase Sapphire Preferred,,,false
9/20/24,Safeway,SAFEWAY #2246,15.21,Debit,Food & Dining,Groceries,Chase Sapphire Preferred,,,false
9/20/24,Enterprise Coworking,ENTERPRISE COWORKING,5,Debit,Travel,Rental Car & Taxi,Chase Sapphire Preferred,,,false
9/20/24,Chase Credit Card,External Withdrawal - CHASE CREDIT CRD  - AUTOPAY,4637.12,Debit,Transfer,Credit Card Payment,6554 * Member Advantage Checking,,CHASE CREDIT CRD  - AUTOPAY ,false
9/19/24,EyeBuyDirect,EYEBUYDIRECT,68.88,Debit,Health & Fitness,Eyecare,Chase Freedom,,,false
9/19/24,Honey Hill Cafe,SQ *HONEY HILL CAFE,14.41,Debit,Food & Dining,Food & Dining,Chase Freedom,,,false
9/19/24,Automatic Payment,AUTOMATIC PAYMENT - THANK,4637.12,Credit,Transfer,Transfer,Chase Freedom,,,false
9/19/24,Alipay,PAYPAL *ALIPAYUSINC,2.86,Debit,Business Services,Business Services,Chase Freedom,,,false
